annee,guest_editor,nom_poete,titre_poeme,revue,nom_famille
1988,John Ashbery,A. R. Ammons,Motion Which Disestablishes Organizes Everything,The Hudson Review,Ammons
1988,John Ashbery,Ralph Angel,Shadow Play,Poetry,Angel
1988,John Ashbery,Rae Armantrout,Bases,O.blek,Armantrout
1988,John Ashbery,John Ash,Memories of Italy,Disbelief,Ash
1988,John Ashbery,John Ashbery,One Coat of Paint,Shenandoah,Ashbery
1988,John Ashbery,Ted Berrigan,My Autobiography,New American Writing,Berrigan
1988,John Ashbery,Mei-mei Berssenbrugge,Chinese Space,Conjunctions,Berssenbrugge
1988,John Ashbery,George Bradley,"Noch Einmal, an Orpheus",Grand Street,Bradley
1988,John Ashbery,Stefan Brecht,Momentariness,Tyuonyi,Brecht
1988,John Ashbery,Joseph Brodsky,To Urania,The Paris Review,Brodsky
1988,John Ashbery,Nicholas Christopher,Miranda inReno,The New Republic,Christopher
1988,John Ashbery,Marc Cohen,Mecox Road,Verse,Cohen
1988,John Ashbery,Wanda Coleman,Essay on Language,Heavy Daughter Blues,Coleman
1988,John Ashbery,Clark Coolidge,A Monologue,O.blek,Coolidge
1988,John Ashbery,Alfred Corn,New Year,Partisan Review,Corn
1988,John Ashbery,Douglas Crase,Dog Star Sale,The Paris Review,Crase
1988,John Ashbery,Robert Creeley,The Dream,Exquisite Corpse,Creeley
1988,John Ashbery,Tom Disch,In Memoriam,Boulevard,Disch
1988,John Ashbery,Kenward Elmslie,Top O' Silo,Conjunctions,Elmslie
1988,John Ashbery,Alice Fulton,Losing It,Epoch,Fulton
1988,John Ashbery,Amy Gerstler,marriage,New American Writing,Gerstler
1988,John Ashbery,Jorie Graham,On Difficulty,The End of Beauty,Graham
1988,John Ashbery,Deborah Greger,Snow White and Rose Red,The New Yorker,Greger
1988,John Ashbery,Allen Grossman,The Piano Player Explains Himself,Grand Street,Grossman
1988,John Ashbery,Barbara Guest,Words,Tyuonyi,Guest
1988,John Ashbery,Rachel Hadas,Nourishment,Boulevard,Hadas
1988,John Ashbery,Donald Hall,Prophecy,The Paris Review,Hall
1988,John Ashbery,Robert Hass,Thin Air,Antaeus,Hass
1988,John Ashbery,Seamus Heaney,A Shooting Script,American Poetry Review,Heaney
1988,John Ashbery,Anthony Hecht,Envoi,The Yale Review,Hecht
1988,John Ashbery,Gerrit Henry,The Confessions of Gerrit,Mudfish,Henry
1988,John Ashbery,John Hollander,An Old Story is Retold,Partisan Review,Hollander
1988,John Ashbery,Richard Howard,The Foreigner Remembered by a Local Man,For Nelson Mandela,Howard
1988,John Ashbery,Donald Justice,Nostalgia of the Lakefronts,Antaeus,Justice
1988,John Ashbery,Robert Kelly,Hercules Musarum,Tyuonyi,Kelly
1988,John Ashbery,Kevin Killiam,Pasolini,Shiny International,Killiam
1988,John Ashbery,August Kleinzahler,Soda Water with a Boyhood Friend,New American Writing,Kleinzahler
1988,John Ashbery,Carolina Knox,Movement Along the Frieze,New American Writing,Knox
1988,John Ashbery,Kenneth Koch,What People Say About Paris,Poetry,Koch
1988,John Ashbery,John Koethe,Mistral,The Paris Review,Koethe
1988,John Ashbery,Philip Lamantia,Unachieved,Sulfur,Lamantia
1988,John Ashbery,Ann Lauterbach,Psyche's Dream,Before Recollection,Lauterbach
1988,John Ashbery,David Lehman,Operation Memory,Shenandoah,Lehman
1988,John Ashbery,Philip Levine,A Walk with Tom Jefferson,The Paris Review,Levine
1988,John Ashbery,Nathaniel Mackey,Degree Four,Conjunctions,Mackey
1988,John Ashbery,Michael Malinowitz,Funeral March for a Papagallo,Aerial,Malinowitz
1988,John Ashbery,Tom Mandel,Hungry and Waiting,Sulfur,Mandel
1988,John Ashbery,Harry Matthews,Histoire,Armenian Papers,Matthews
1988,John Ashbery,Bernadette Mayer,Holding the Thought of Love,Exquisite Corpse,Mayer
1988,John Ashbery,James Merrill,Farewell Performance,Grand Street,Merrill
1988,John Ashbery,Eileen Myles,Public Television,Shiny International,Myles
1988,John Ashbery,A. L. Nielson,Route E,Aerial,Nielson
1988,John Ashbery,Ron Padgett,Light As Air,Boulevard,Padgett
1988,John Ashbery,Michael Palmer,From C,O.blek,Palmer
1988,John Ashbery,Bob Perelman,Politics,O.blek,Perelman
1988,John Ashbery,Robert Pinsky,The Hearts,The New Republic,Pinsky
1988,John Ashbery,Donald Revell,St. Lucy's Day,Poetry,Revell
1988,John Ashbery,Joe Ross,"From Act I, Scene II of Guards of the Heart",Aerial,Ross
1988,John Ashbery,Leslie Scalapino,Jumping-jack flash,Conjunctions,Scalapino
1988,John Ashbery,James Schuyler,Let's All Hear It for Mildred Bailey!,Poetry,Schuyler
1988,John Ashbery,David Shapiro,Empathy for David Winfield,Diamonds are Forever: Artists and Writers on Baseball,Shapiro
1988,John Ashbery,Charles Simic,St Thomas Aquinas,Antaeus,Simic
1988,John Ashbery,Gary Snyder,Walking the New York Bedrock Alive in the Sea of Information,Sulfur,Snyder
1988,John Ashbery,Ruth Stone,The Latest Hotel Guest Walks Over Particles That Revolve in Seven Other Dimensions Controlling Latticed Space,American Poetry Review,Stone
1988,John Ashbery,May Swenson,"Dummy, 51, to Go to Museum. Ventriloquist Dead at 75",In Other Words,Swenson
1988,John Ashbery,James Tate,Neighbors,Sonora Review,Tate
1988,John Ashbery,Lydia Tomkiw,Six of Ox Is,New American Writing,Tomkiw
1988,John Ashbery,Derek Walcott,Elsewhere,The Arkansas Testament,Walcott
1988,John Ashbery,Rosanne Wasserman,Inuit and Seal,Sulfur,Wasserman
1988,John Ashbery,Majorie Welish,"Respected, Feared, and Somehow Loved",O.blek,Welish
1988,John Ashbery,Susan Wheeler,What Memory Reveals,Sulfur,Wheeler
1988,John Ashbery,Richard Wilbur,Trolling for Blues,Poetry,Wilbur
1988,John Ashbery,Alan Williamson,Recitation for Dismantling the Hydrogen Bomb,American Poetry Review,Williamson
1988,John Ashbery,John Yau,Genghis Chan: Private Eye,Sulfur,Yau
1988,John Ashbery,Geoffrey Young,"Drive, It Said",New American Writing,Young
1989,Donald Hall,A. R. Ammons,Anxiety's Prosody,Poetry,Ammons
1989,Donald Hall,John Ashbery,Meanwhile...,Mudfish,Ashbery
1989,Donald Hall,Beth Bentley,Norther Idylls,The Gettysburg Review,Bentley
1989,Donald Hall,Elizabeth Bishop,It is marvellous...,American Poetry Review,Bishop
1989,Donald Hall,Robert Bly,My Father at 85,Common Ground,Bly
1989,Donald Hall,Catherine Bowman,Twins of  Gazelle Which Feed Among the Lilies,The Paris Review,Bowman
1989,Donald Hall,George Bradley,Of the Knowledge of God and Evil,The New Yorker,Bradley
1989,Donald Hall,David Budbill,What I Heard at the Discount Department Store,Longhouse,Budbill
1989,Donald Hall,Michael Burkhard,Hotel Tropicana,Epoch,Burkhard
1989,Donald Hall,Amy Clampitt,A Minor Tremor,Boulevard,Clampitt
1989,Donald Hall,Tom Clark,For Robert Duncan,Exquisite Corpse,Clark
1989,Donald Hall,Clark Coolidge,Paris...,O.blek,Coolidge
1989,Donald Hall,Douglas Crase,True Solar Holiday,The Yale Review,Crase
1989,Donald Hall,Robert Creeley,Age,New American Writing,Creeley
1989,Donald Hall,Peter Davison,Letter from the Poetry Editor,The New Criterion,Davison
1989,Donald Hall,David Dooley,The Reading,The Volcano Inside,Dooley
1989,Donald Hall,Rita Dove,The Late Notebooks of Albrecht Durer,The Gettysburg Review,Dove
1989,Donald Hall,Stephen Dunn,Letting the Puma Go,Poetry,Dunn
1989,Donald Hall,Russell Edson,The Rabbit Story,Willow Springs,Edson
1989,Donald Hall,Daniel Mark Epstein,The Rivals,The Paris Review,Epstein
1989,Donald Hall,Elaine Equi,A Date with Robbe-Grillet,New American Writing,Equi
1989,Donald Hall,Aaron Fogel,BW,Western Humanities Review,Fogel
1989,Donald Hall,Alice Fulton,Powers of Congress,The Atlantic Monthly,Fulton
1989,Donald Hall,Suzanne Gardinier,Voyage,Grand Street,Gardinier
1989,Donald Hall,Deborah Greger,In Violet,The Gettysburg Review,Greger
1989,Donald Hall,Linda Gregg,A Dark Thing Inside the Day,American Poetry Review,Gregg
1989,Donald Hall,Thom Gunn,Cafeteria in Boston,The Times Literary Supplement,Gunn
1989,Donald Hall,Donald Hall,History,The New Yorker,Hall
1989,Donald Hall,John Hollander,Kinneret,Harp Lake,Hollander
1989,Donald Hall,Paul Hoover,Twenty-five (from The Novel),New American Writing,Hoover
1989,Donald Hall,Marie Howe,The Good Reason for Our Forgetting,Partisan Review,Howe
1989,Donald Hall,Andrew Hudgins,Heat Lightening in a Time of Drought,The Georgia Review,Hudgins
1989,Donald Hall,Rodney Jones,Every Day There Are New Memos,The Georgia Review,Jones
1989,Donald Hall,Lawrence Joseph,An Awful Lot Was Happening,Poetry,Joseph
1989,Donald Hall,Donald Justice,Dance Lessons of the Thirties,The New Criterion,Justice
1989,Donald Hall,Vickie Karp,Getting Dressed in the Dark,The New York Review of Books,Karp
1989,Donald Hall,Jane Kenyon,Three Songs at the End of Summer,Poetry,Kenyon
1989,Donald Hall,Kenneth Koch,Six Hamlets,One Thousand Avant-Garde Plays,Koch
1989,Donald Hall,Phillis Levin,The Ransom,Grand Street,Levin
1989,Donald Hall,Philip Levine,Dog Poem,The Gettysburg Review,Levine
1989,Donald Hall,Anne MacNaughton,Teste Moanial,Exquisite Corpse,MacNaughton
1989,Donald Hall,Harry Mathews,Condo Auction,The Paris Review,Mathews
1989,Donald Hall,Robert Mazzacco,Kidnapped,The New Yorker,Mazzacco
1989,Donald Hall,James McCorkle,Showing Us the Fields,Boulevard,McCorkle
1989,Donald Hall,Robert McDowell,The Fifties,The Hudson Review,McDowell
1989,Donald Hall,Wesley McNair,The Abandonment,The Atlantic Monthly,McNair
1989,Donald Hall,James Merrill,A Room at the Heart of Things,The Inner Room,Merrill
1989,Donald Hall,Thylias Moss,The Warmth of Hot Chocolate,Epoch,Moss
1989,Donald Hall,Sharon Olds,The Wellspring,American Poetry Review,Olds
1989,Donald Hall,Mary Oliver,Some Questions You Might Ask,Harvard Magazine,Oliver
1989,Donald Hall,Steve Orlen,The Bridge of Sighs,The Atlantic Monthly,Orlen
1989,Donald Hall,Michael Palmer,Sun,The Sun,Palmer
1989,Donald Hall,Bob Perelman,Movie,Captive Audience,Perelman
1989,Donald Hall,Robert Pinsky,At Pleasure Bay,Raritan,Pinsky
1989,Donald Hall,Anna Rabinowitz,Sappho Comments on an Exhibition of Expressionist Landscapes,Sulfur,Rabinowitz
1989,Donald Hall,Mark Rudman,The Shoebox,The Paris Review,Rudman
1989,Donald Hall,Yvonne Sapia,Valetino's Hair,The Reaper,Sapia
1989,Donald Hall,Lynda Schraufnagel,Trappings,Shenandoah,Schraufnagel
1989,Donald Hall,David Shapiro,The Lost Golf Ball,House (Blown Apart),Shapiro
1989,Donald Hall,Karl Shapiro,Tennyson,The New Yorker,Shapiro
1989,Donald Hall,Charles Simic,The White Room,Western Humanities Review,Simic
1989,Donald Hall,Louis Simpson,The People Next Door,Poetry,Simpson
1989,Donald Hall,W. D. Snodgrass,The Memory of Cock Robin Dwarfs W. D.,Michigan Quarterly Review,Snodgrass
1989,Donald Hall,Gary Snyder,Building,Witness,Snyder
1989,Donald Hall,Elizabeth Spires,Sunday Afternoon at Fulham Palace,Iowa Review,Spires
1989,Donald Hall,David St. John,Broken Gauges,Green Mountains Review,John
1989,Donald Hall,William Stafford,Last Day,The Ohio Review,Stafford
1989,Donald Hall,George Starbuck,Reading the Facts about Frost in The Norton Anthology,Poetry,Starbuck
1989,Donald Hall,Patricia Storace,Movie,The New York Review of Books,Storace
1989,Donald Hall,Mark Strand,Reading in Place,Grand Street,Strand
1989,Donald Hall,Eleanor Ross Taylor,"Harvest, 1925",Seneca Review,Taylor
1989,Donald Hall,Jean Valentine,Trust Me,Boulevard,Valentine
1989,Donald Hall,Richard Wilbur,Lying,New and Collected Poems,Wilbur
1989,Donald Hall,Alan Williamson,The Muse of Distance,The Muse of Distance,Williamson
1989,Donald Hall,Jay Wright,Madrid,The Yale Review,Wright
1990,Jorie Graham,A. R. Ammons,The Damned,The Yale Review,Ammons
1990,Jorie Graham,John Ash,The Sweeping Gesture,Broadway,Ash
1990,Jorie Graham,John Ashbery,Notes from the Air,The New Yorker,Ashbery
1990,Jorie Graham,Marvin Bell,Victim of Himself,The Atlantic Monthly,Bell
1990,Jorie Graham,Stephen Berg,First Song/Bankei/1653/,Denver Quarterly,Berg
1990,Jorie Graham,Mei-mei Berssenbrugge,Jealousy,Empathy,Berssenbrugge
1990,Jorie Graham,Hayden Carruth,Crucifixion,American Poetry Review,Carruth
1990,Jorie Graham,Anne Carson,The Life of Towns,Grand Street,Carson
1990,Jorie Graham,Raymond Carver,Wake Up,Michigan Quarterly Review,Carver
1990,Jorie Graham,Amy Clampitt,My Cousin Muriel,The New Yorker,Clampitt
1990,Jorie Graham,Killarney Clary,"""Boys on street corners in Santa Ana...""",Who Whispered Near Me,Clary
1990,Jorie Graham,Robert Creeley,Thinking,Harvard Magazine,Creeley
1990,Jorie Graham,Christopher Davis,Dying in Your Garden of Death to Go Back into My Garden,The Tyrant of the Past and the Slave of the Future,Davis
1990,Jorie Graham,Tom Disch,The Crumbling Infrastructure,Southwest Review,Disch
1990,Jorie Graham,Norman Dubie,Of Politics & Art,American Poetry Review,Dubie
1990,Jorie Graham,Aaron Fogel,The Chessboard Is on Fire,Boulevard,Fogel
1990,Jorie Graham,James Galvin,To the Republic,New Letters,Galvin
1990,Jorie Graham,Suzanne Gardinier,This Land,Grand Street,Gardinier
1990,Jorie Graham,Amy Gerstler,The Ice Age,The Paris Review,Gerstler
1990,Jorie Graham,Linda Gregg,The War,New Letters,Gregg
1990,Jorie Graham,Thom Gunn,Duncan,The Threepenny Review,Gunn
1990,Jorie Graham,Donald Hall,Praise for Death,The Gettysburg Review,Hall
1990,Jorie Graham,Daniel Halpern,Bell & Capitol,Ontario Review,Halpern
1990,Jorie Graham,Robert Hass,Berkeley Eclogue,Human Wishes,Hass
1990,Jorie Graham,Seamus Heaney,Crossings,The New Yorker,Heaney
1990,Jorie Graham,Anthony Hecht,Eclogue of the Shepherd and the Townie,The Sewanee Review,Hecht
1990,Jorie Graham,Emily Hiestand,On Nothing,The Hudson Review,Hiestand
1990,Jorie Graham,Brenda Hillman,No Greener Pastures,Fortress,Hillman
1990,Jorie Graham,John Hollander,An Old-Fashioned Song,The New Republic,Hollander
1990,Jorie Graham,Virginia Hooper,Climbing Out of the Cage,Denver Quarterly,Hooper
1990,Jorie Graham,Richard Howard,The Victor Vanquished,Antaeus,Howard
1990,Jorie Graham,Fanny Howe,Perfection and Derangement,O.blek,Howe
1990,Jorie Graham,Rodney Jones,On the Bearing of Waitresses,Transparent Gestures,Jones
1990,Jorie Graham,Galway Kinnell,When One Has Lived a Long Time Alone,The Atlantic Monthly,Kinnell
1990,Jorie Graham,Edward Kleinschmidt,Gangue,The Gettysburg Review,Kleinschmidt
1990,Jorie Graham,Yusef Komunyakaa,Facing It,Dien Cai Dau,Komunyakaa
1990,Jorie Graham,Denise Levertov,Ikon: The Harrowing of Hell,American Poetry Review,Levertov
1990,Jorie Graham,Philip Levine,Scouting,Western Humanities Review,Levine
1990,Jorie Graham,Thomas Lux,Time,American Poetry Review,Lux
1990,Jorie Graham,Nathaniel Mackey,Slipped Quadrant,Avec,Mackey
1990,Jorie Graham,Kevin Magee,Road,Hambone,Magee
1990,Jorie Graham,Thomas McGrath,Afternoon of a McGrath,The Nation,McGrath
1990,Jorie Graham,Lynne McMahon,Barbie's Ferrari,American Poetry Review,McMahon
1990,Jorie Graham,Jane Mead,Concerning That Prayer I Cannot Make,The Virginia Quarterly Review,Mead
1990,Jorie Graham,James Merrill,Quatrains for Pegasus,The Nation,Merrill
1990,Jorie Graham,W. S. Merwin,The Morning Train,The New Yorker,Merwin
1990,Jorie Graham,Jane Miller,Adoration,Black Warrior Review,Miller
