poet_id,nom_canonique,poetry_magazine,american_poetry_review,kenyon_review,prairie_schooner
1,Steve Abee,[],[],[],[]
2,Harold Abramowitz,[],[],[],[]
3,Ricardo Lira Acuna,[],[],[],[]
4,Thomas Adams,[],[],[],[]
5,Mikael Ahadou,[],[],[],[]
6,Christine Choi Ahmed,[],[],[],[]
7,Tanzila Ahmed,[],[],[],[]
8,Josephine Ain,[],[],[],[]
9,Riua Akinshegun,[],[],[],[]
10,Linda Albertano,[],[],[],[]
11,Nelson Alburquenque,[],[],[],[]
12,Robert Alexander,[],[],[],[]
13,Will Alexander,[2022],[],[],[]
14,Luis Alfaro,[],[],[],[]
15,Paula Gunn Allen,[],[1975],[],[]
16,Blair H. Allen,[],[],[],[]
17,Rosie Angelica Alonso,[],[],[],[]
18,Rafael F J Alvarado,[],[],[],[]
19,Li Yun Alvarado,[],[],[],[]
20,Karina Oliva Alvarado,[],[],[],[]
21,Melissa F. Alvarado,[],[],[],[]
22,Gloria Alvarez,[],[],[],[]
23,Dave Alvin,[],[],[],[]
24,Ameen Alwan,[],[1978],"[1960, 1968]",[]
25,E. Amato,[],[],[],[]
26,Iris De Anda,[],[],[],[]
27,Michael Andrews,[],[],[],[]
28,Ralph Angel,"[1987, 1991, 2001, 2003]","[1981, 1984, 1986, 1987, 1992, 1995, 2020]",[],[]
29,William Archila,[2019],[2014],[],[2017]
30,RD Armstrong,[],[],[],[]
31,Mary Armstrong,[],[],[],[]
32,Diana Arterian,[],[],[],[]
33,Kenneth Atchity,[],[],[],[]
34,Erika Ayon,[],[],[],[]
35,Danny Baker,[],[],[],[]
36,Dorothy Barnes,[],[],[],[]
37,Dick Barnes,"[1995, 2006]",[],[],[]
38,Tony Barnstone,[2012],"[1987, 1995]",[],[2005]
39,Todd Baron,[],[],[],[]
40,Dorothy Barresi,"[1987, 1988, 1989]",[],[2001],"[1999, 2009]"
41,Richard Beban,[],[],[],[]
42,Marjorie Becker,[],[],[],[]
43,Cal Bedient,[],[],[],[]
44,Lory Bedikian,[],[],[],[]
45,John Beecher,[],[1976],[],[]
46,Max Benavidez,[],[],[],[]
47,Molly Bendall,"[1993, 1994]","[1992, 1994, 2000]",[],[2003]
48,Lin Benedek,[],[],[],[]
49,Kim Benjamin,[],[],[],[]
50,Dinah Berland,[],[],[],[]
51,Wallace Berman,[],[],[],[]
52,Xochitl-Julisa Bermejo,[],[2015],[],[]
53,Andres Bermejo,[],[],[],[]
54,Tara Betts,[2015],[2017],[2020],[2016]
55,Bridgette Bianca,[],[],[],[]
56,Niki Billingslea,[],[],[],[]
57,Billy Al Bingston,[],[],[],[]
58,Michelle Bitting,[],"[2012, 2015]",[],"[2004, 2009]"
59,Charles Bivins,[],[],[],[]
60,Laurel Ann Bogen,[],[],[],[]
61,Joan La Bombard,[1958],[],[],[1965]
62,Jennifer Bowen,[],[],[],[]
63,Sue Abbott Boyd,[],[],[],[1956]
64,Bruce Boyd,[],[],[],[]
65,John Brander,[],[],[],[]
66,John Brantingham,[],[],[],[]
67,Kate Braverman,[],[],"[1994, 1995]",[]
68,Lynne Bronstein,[],[],[],[]
69,F. Douglas Brown,[],[],[],[]
70,Derek D. Brown,[],[],[],[]
71,Stephanie Brown,[],"[1999, 2001, 2003, 2005, 2011]",[],[]
72,Jeffrey Bryant,[],[],[],[]
