poet_id,nom_canonique,score_canon_local,score_national_presence,categorie
196,Dana Gioia,4,8,national
261,David St. John,3,8,national
375,Carol Muske-Dukes,2,7,national
581,Charles Harper Webb,5,6,double
74,Christopher Buckley,1,6,national
76,Charles Bukowski,10,5,double
194,Amy Gerstler,5,5,double
79,Elena Karina Byrne,3,5,national
188,Richard Garcia,3,5,national
359,Robert Mezey,2,5,national
191,Frank X. Gaspar,1,5,national
228,David Hernandez,1,5,national
549,Quincy Troupe,1,5,national
115,Wanda Coleman,10,4,double
537,Lynne Thompson,9,4,double
547,David Trinidad,4,4,national
120,Brendan Constantine,3,4,national
607,Stephen Yenser,2,4,national
28,Ralph Angel,1,4,national
544,Alison Townsend,1,4,national
180,Gene Frumkin,0,4,national
233,Juan Felipe Herrera,0,4,national
350,Thomas McGrath,0,4,national
40,Dorothy Barresi,5,3,double
109,Michelle T. Clinton,5,3,double
267,Douglas Kearney,5,3,double
13,Will Alexander,4,3,national
29,William Archila,4,3,national
518,Timothy Steele,4,3,national
596,Cecilia Woloch,4,3,national
38,Tony Barnstone,3,3,national
519,Brian Kim Stefans,3,3,national
530,Judith Taylor,3,3,national
47,Molly Bendall,2,3,national
99,Cathy Linh Che,2,3,national
240,Jack Hirschman,2,3,national
358,Bert Meyers,2,3,national
406,Morgan Parker,2,3,national
572,Arthur Vogelsang,2,3,national
15,Paula Gunn Allen,1,3,national
71,Stephanie Brown,1,3,national
326,Ruth Madievsky,1,3,national
516,Ann Stanford,1,3,national
279,Ron Koertge,7,2,local
304,Robin Coste Lewis,6,2,local
425,Holly Prado,6,2,local
58,Michelle Bitting,3,2,peripherie
288,Michael Lally,3,2,peripherie
590,Rex Wilder,3,2,peripherie
121,Dennis Cooper,2,2,peripherie
139,Jose Hernandez Diaz,2,2,peripherie
211,Sonia Greenfield,2,2,peripherie
420,William Pillin,2,2,peripherie
431,James Ragan,2,2,peripherie
24,Ameen Alwan,1,2,peripherie
61,Joan La Bombard,1,2,peripherie
131,Mary-Alice Daniel,1,2,peripherie
144,Sharon Doubiago,1,2,peripherie
160,Jenny Factor,1,2,peripherie
201,Jessica Goodheart,1,2,peripherie
394,Marsha De la O,1,2,peripherie
499,David Shook,1,2,peripherie
505,Jack Skelley,1,2,peripherie
618,Aram Saroyan,1,2,peripherie
43,Cal Bedient,0,2,peripherie
86,Alvaro Cardona-Hine,0,2,peripherie
122,Henri Coulette,0,2,peripherie
226,Leslie Woolf Hedley,0,2,peripherie
308,Lawrence Lipton,0,2,peripherie
476,Jerome Sala,0,2,peripherie
224,Eloise Klein Healy,11,1,local
455,Luis J. Rodriguez,7,1,local
598,Terry Wolverton,7,1,local
310,Gerald Locklin,6,1,local
601,Gail Wronsky,6,1,local
175,Sesshu Foster,5,1,local
283,James Krusoe,5,1,local
67,Kate Braverman,4,1,peripherie
324,Sarah Maclay,4,1,peripherie
417,Robert Peters,4,1,peripherie
606,Ricardo Means Ybarra,4,1,peripherie
52,Xochitl-Julisa Bermejo,3,1,peripherie
445,Tim Reynolds,3,1,peripherie
451,Doren Robbins,3,1,peripherie
467,Martha Ronk,3,1,peripherie
523,John Struloeff,3,1,peripherie
556,Gloria Vando,3,1,peripherie
37,Dick Barnes,2,1,peripherie
119,Cathy Colman,2,1,peripherie
133,Carol V. Davis,2,1,peripherie
166,Jamie Asaye Fitzgerald,2,1,peripherie
245,Harmony Holiday,2,1,peripherie
300,Russell Leong,2,1,peripherie
323,Lewis MacAdams,2,1,peripherie
383,Gail Newman,2,1,peripherie
477,Maya Salameh,2,1,peripherie
486,Peter Schjeldahl,2,1,peripherie
496,Mahtem Shiferraw,2,1,peripherie
145,Linda Dove,1,1,peripherie
172,Ruth Forman,1,1,peripherie
217,Charles Gullans,1,1,peripherie
313,Bia Lowe,1,1,peripherie
346,Anthony McCann,1,1,peripherie
356,Douglas Messerli,1,1,peripherie
395,Jamie O'Halloran,1,1,peripherie
399,Martin Ott,1,1,peripherie
469,Lee Rossi,1,1,peripherie
493,Patty Seyburn,1,1,peripherie
538,Daniel Tiffany,1,1,peripherie
543,Michael Torres,1,1,peripherie
580,Joanna Warwick,1,1,peripherie
588,Jackson Wheeler,1,1,peripherie
45,John Beecher,0,1,peripherie
63,Sue Abbott Boyd,0,1,peripherie
202,Don Gordon,0,1,peripherie
268,Hanson Kellogg,0,1,peripherie
271,Stanley Kiesel,0,1,peripherie
345,James Boyer May,0,1,peripherie
437,John Rechy,0,1,peripherie
440,Naomi Replansky,0,1,peripherie
463,Edwin Rolfe,0,1,peripherie
605,Peter Yates,0,1,peripherie
60,Laurel Ann Bogen,9,0,local
364,Bill Mohr,8,0,local
146,Kim Dower,7,0,local
171,Michael C. Ford,7,0,local
319,Suzanne Lummis,7,0,local
439,Steven Reigns,7,0,local
554,Amy Uyematsu,7,0,local
199,Liz Gonzalez,6,0,local
206,Jack Grapes,6,0,local
220,Peter J. Harris,6,0,local
522,Austin Straus,6,0,local
134,Kamau Daáood,5,0,local
170,Charles Flowers,5,0,local
311,Philomene Long,5,0,local
391,Harry Northup,5,0,local
438,Ellen Reich,5,0,local
510,Brian Sonia-Wallace,5,0,local
511,Mike Sonksen,5,0,local
536,John Thomas,5,0,local
578,Pam Ward,5,0,local
10,Linda Albertano,4,0,peripherie
177,Amelie Frank,4,0,peripherie
185,Manazar Gamboa,4,0,peripherie
234,Leland Hickman,4,0,peripherie
369,Henry J. Morro,4,0,peripherie
409,Sherman Pearl,4,0,peripherie
557,Paul Vangelisti,4,0,peripherie
569,Antonieta Villamil,4,0,peripherie
573,Fred Voss,4,0,peripherie
612,Mariano Zaro,4,0,peripherie
44,Lory Bedikian,3,0,peripherie
69,F. Douglas Brown,3,0,peripherie
78,Ann Buxie,3,0,peripherie
