anthologie,groupe,poete
Norton Moderne & Contemporaine,SF,James Merrill
Norton Moderne & Contemporaine,SF,Gary Snyder
Norton Moderne & Contemporaine,SF,Allen Ginsberg
Norton Moderne & Contemporaine,SF,Kenneth Rexroth
Norton Moderne & Contemporaine,SF,Robert Duncan
Norton Moderne & Contemporaine,SF,Thom Gunn
Norton Anthology of Poetry (Gioia),SF,James Merrill
Norton Anthology of Poetry (Gioia),SF,Gary Snyder
Norton Anthology of Poetry (Gioia),SF,Allen Ginsberg
Norton Anthology of Poetry (Gioia),SF,Thom Gunn
Norton Anthology of Poetry (Gioia),LA,Dana Gioia
"Penguin (Dove, 2011)",SF,James Merrill
"Penguin (Dove, 2011)",SF,Robert Duncan
"Penguin (Dove, 2011)",LA,Paula Gunn Allen
"Penguin (Dove, 2011)",LA,B.H. Fairchild
"Penguin (Dove, 2011)",LA,David St. John
"Penguin (Dove, 2011)",LA,Carol Muske-Dukes
Best American Poetry (1988-2024),SF,James Merrill
Best American Poetry (1988-2024),SF,Gary Snyder
Best American Poetry (1988-2024),SF,Allen Ginsberg
Best American Poetry (1988-2024),SF,Thom Gunn
Best American Poetry (1988-2024),LA,Will Alexander
Best American Poetry (1988-2024),LA,Ralph Angel
Best American Poetry (1988-2024),LA,Cal Bedient
Best American Poetry (1988-2024),LA,Stephanie Brown
Best American Poetry (1988-2024),LA,Christopher Buckley
Best American Poetry (1988-2024),LA,Charles Bukowski
Best American Poetry (1988-2024),LA,Elena Karina Byrne
Best American Poetry (1988-2024),LA,Cathy Linh Che
Best American Poetry (1988-2024),LA,Michelle T. Clinton
Best American Poetry (1988-2024),LA,Wanda Coleman
Best American Poetry (1988-2024),LA,Brendan Constantine
Best American Poetry (1988-2024),LA,Dennis Cooper
Best American Poetry (1988-2024),LA,B.H. Fairchild
Best American Poetry (1988-2024),LA,Gene Frumkin
Best American Poetry (1988-2024),LA,Richard Garcia
Best American Poetry (1988-2024),LA,Frank X. Gaspar
Best American Poetry (1988-2024),LA,Amy Gerstler
Best American Poetry (1988-2024),LA,Dana Gioia
Best American Poetry (1988-2024),LA,Jessica Goodheart
Best American Poetry (1988-2024),LA,Sonia Greenfield
Best American Poetry (1988-2024),LA,David Hernandez
Best American Poetry (1988-2024),LA,Juan Felipe Herrera
Best American Poetry (1988-2024),LA,David St. John
Best American Poetry (1988-2024),LA,Douglas Kearney
Best American Poetry (1988-2024),LA,Ron Koertge
Best American Poetry (1988-2024),LA,Michael Lally
Best American Poetry (1988-2024),LA,Robin Coste Lewis
Best American Poetry (1988-2024),LA,Thomas McGrath
Best American Poetry (1988-2024),LA,Robert Mezey
Best American Poetry (1988-2024),LA,Carol Muske-Dukes
Best American Poetry (1988-2024),LA,Morgan Parker
Best American Poetry (1988-2024),LA,Jerome Sala
Best American Poetry (1988-2024),LA,Jack Skelley
Best American Poetry (1988-2024),LA,Brian Kim Stefans
Best American Poetry (1988-2024),LA,Lynne Thompson
Best American Poetry (1988-2024),LA,Alison Townsend
Best American Poetry (1988-2024),LA,David Trinidad
Best American Poetry (1988-2024),LA,Quincy Troupe
Best American Poetry (1988-2024),LA,Arthur Vogelsang
Best American Poetry (1988-2024),LA,Charles Harper Webb
Best American Poetry (1988-2024),LA,Cecilia Woloch
Best American Poetry (1988-2024),LA,Stephen Yenser
